Date,CPI (Inflation Level),Interbank Interest Rate,10-Year Bond Yield,USD/INR Exchange Rate,M3 Money Supply Growth,CPI (Inflation Level) (YoY % change),Interbank Interest Rate (YoY % change),10-Year Bond Yield (YoY % change),USD/INR Exchange Rate (YoY % change),M3 Money Supply Growth (YoY % change),Retail Demand Risk Score
2019-11-01,125.4702,5.4,6.63498,71.4789666666667,10.3207682527,8.609263497581466,-19.999999999999996,-14.768094011011467,-0.5182376167488623,1.0335421794095412,23.614915205668247
2019-12-01,126.2353,5.4,6.848575,71.1826045454546,10.3207682527,9.634546589903415,-19.999999999999996,-7.117185539815685,0.6539659492429406,0.0,29.716403066813164
2020-01-01,126.2353,5.4,6.8218,71.2924869565217,10.3207682527,7.4919318443080085,-19.999999999999996,-7.152919079668174,0.770425891639337,0.0,24.86928804313461
2020-02-01,125.4702,5.4,6.65965,71.49953,10.3207682527,6.840433594182427,-17.714285714285705,-10.382576165356872,0.3800850217889229,0.0,22.56268578318939
2020-03-01,124.7051,5.2125,6.701575,74.49565,10.3207682527,5.501594303316093,-19.807692307692303,-9.605039885832367,7.164687663312419,0.0,23.48934573958082
2020-04-01,125.8527,4.65,6.76515,76.19045,10.3207682527,5.448694047827529,-25.59999999999999,-8.838679032350427,9.74696696303068,0.0,23.645875371946037
2020-05-01,126.2353,4.49,5.91544,75.6670523809524,10.3207682527,5.09554193155215,-28.159999999999997,-19.266285433527585,8.406923720072212,0.0,17.33283697674461
2020-06-01,127.0003,4.25,5.8551,75.7491272727273,10.3207682527,5.063294280764863,-29.166666666666664,-15.972187340791177,9.104736385123724,0.0,18.65573629035759
2020-07-01,128.5304,4.25,5.81452,74.9667173913043,10.3207682527,5.329130998447873,-29.166666666666664,-11.87083426484129,9.012798283952051,0.0,20.75155674394268
2020-08-01,129.2955,4.25,6.0105,74.6297952380952,10.3207682527,5.625035229993669,-25.699300699300696,-9.194877868961427,4.910968003753569,0.0,20.82595563468602
2020-09-01,130.1179,4.25,6.024675,73.5113909090909,10.3207682527,5.636614572762322,-24.77876106194691,-11.575436459304155,2.9974113586178186,0.0,19.00579891384102
2020-10-01,131.6603,4.25,5.94484,73.4861363636364,10.3207682527,5.902144903661943,-21.2962962962963,-9.125317190987193,3.426535521410745,0.0,21.79812816920031
2020-11-01,132.101,4.25,5.8952,74.2792857142857,10.3207682527,5.28476084361067,-21.2962962962963,-11.149694497948747,3.9176826109951435,0.0,19.932338117337423
2020-12-01,130.8891,4.25,5.8929,73.6197826086957,10.3207682527,3.686607470335179,-21.2962962962963,-13.954362768897177,3.4238394040285725,0.0,14.902714216055841
2021-01-01,130.22799999999998,4.25,5.94162,73.1004238095238,10.3207682527,3.162902928103306,-21.2962962962963,-12.902459761353303,2.53594302875797,0.0,13.537458471233666
2021-02-01,131.1094,4.25,6.1935,72.78943,10.3207682527,4.494453663100861,-21.2962962962963,-6.999617096994582,1.804067802963183,0.0,18.347747695238116
2021-03-01,131.7705,4.25,6.350775,72.8020652173913,10.3207682527,5.66568648756145,-18.46522781774581,-5.2345903761429335,-2.273400906776024,0.0,19.91842023630065
2021-04-01,132.3214,4.25,6.2801,74.4425363636364,10.3207682527,5.139897674026872,-8.602150537634412,-7.169833632661515,-2.2941374363369627,0.0,20.774275968036452
